LSOA_code,outcome_type,crime_type,date_month,2019,2020,2021,2022
1038,0,8,3,1,0,0,0
1024,1,8,3,1,0,0,0
28,1,2,3,1,0,0,0
439,0,7,3,1,0,0,0
477,0,1,3,1,0,0,0
890,1,2,3,1,0,0,0
1146,1,9,3,1,0,0,0
615,0,8,3,1,0,0,0
604,0,8,3,1,0,0,0
1055,0,8,3,1,0,0,0
908,0,8,3,1,0,0,0
908,0,8,3,1,0,0,0
981,0,8,3,1,0,0,0
1089,0,1,3,1,0,0,0
994,0,8,3,1,0,0,0
685,0,8,3,1,0,0,0
535,0,8,3,1,0,0,0
994,0,8,3,1,0,0,0
664,0,8,3,1,0,0,0
611,0,8,3,1,0,0,0
1055,0,8,3,1,0,0,0
888,1,2,3,1,0,0,0
676,1,9,3,1,0,0,0
1097,0,8,3,1,0,0,0
453,1,2,3,1,0,0,0
693,0,7,3,1,0,0,0
749,1,8,3,1,0,0,0
749,1,8,3,1,0,0,0
1033,0,8,3,1,0,0,0
1033,0,8,3,1,0,0,0
921,0,5,3,1,0,0,0
891,1,8,3,1,0,0,0
891,1,8,3,1,0,0,0
431,0,8,3,1,0,0,0
821,0,5,3,1,0,0,0
445,0,8,3,1,0,0,0
510,1,3,3,1,0,0,0
891,1,5,3,1,0,0,0
894,0,8,3,1,0,0,0
605,1,9,3,1,0,0,0
661,0,5,3,1,0,0,0
1000,0,1,3,1,0,0,0
994,1,8,3,1,0,0,0
661,0,5,3,1,0,0,0
537,0,8,3,1,0,0,0
539,0,8,3,1,0,0,0
992,0,8,3,1,0,0,0
681,0,8,3,1,0,0,0
933,0,9,3,1,0,0,0
468,0,8,3,1,0,0,0
993,0,9,3,1,0,0,0
995,0,9,3,1,0,0,0
995,0,9,3,1,0,0,0
1032,0,8,3,1,0,0,0
995,0,9,3,1,0,0,0
995,0,9,3,1,0,0,0
995,0,9,3,1,0,0,0
995,0,9,3,1,0,0,0
925,0,1,3,1,0,0,0
995,0,9,3,1,0,0,0
662,0,8,3,1,0,0,0
871,0,2,3,1,0,0,0
615,0,5,3,1,0,0,0
615,0,4,3,1,0,0,0
994,0,9,3,1,0,0,0
671,0,8,3,1,0,0,0
1161,0,8,3,1,0,0,0
835,1,9,3,1,0,0,0
